Date,VH,Team,Pitcher,Open
2017-04-27,H,DET,JVERLANDER-R,-146
2017-04-27,V,HOU,MFIERS-R,156
2017-04-27,H,CLE,CKLUBER-R,-176
2017-04-27,V,NYY,MTANAKA-R,161
2017-04-27,H,BOS,CSALE-L,-181
2017-04-27,V,OAK,KGRAVEMAN-R,114
2017-04-27,H,LAA,RNOLASCO-R,-124
2017-04-27,V,TOR,MLATOS-R,152
2017-04-27,H,STL,CMARTINEZ-R,-172
2017-04-27,V,TOR,CLAWRENCE-R,146
2017-04-27,H,STL,AWAINWRIGHT-R,-166
2017-04-28,V,PIT,JTAILLON-R,-105
2017-04-28,H,MIA,ACONLEY-L,-105
2017-04-28,V,NYM,JDEGROM-R,140
2017-04-28,H,WAS,MSCHERZER-R,-155
2017-04-28,V,ATL,BCOLON-R,111
2017-04-28,H,MIL,CANDERSON-R,-121
2017-04-28,V,CIN,TADLEMAN-R,136
2017-04-28,H,STL,LLYNN-R,-151
2017-04-28,V,COL,KFREELAND-L,134
2017-04-28,H,ARI,RRAY-L,-149
2017-04-28,V,PHI,JEICKHOFF-R,144
2017-04-28,H,LOS,KMAEDA-R,-164
2017-04-28,V,SDG,LPERDOMO-R,141
2017-04-28,H,SFO,JSAMARDZIJA-R,-161
2017-04-28,V,TAM,BSNELL-L,135
2017-04-28,H,TOR,MSTROMAN-R,-150
2017-04-28,V,BAL,KGAUSMAN-R,116
2017-04-28,H,NYY,CSABATHIA-L,-131
2017-04-28,V,SEA,AMIRANDA-L,175
2017-04-28,H,CLE,CCARRASCO-R,-195
2017-04-28,V,CWS,MPELFREY-R,121
2017-04-28,H,DET,MBOYD-L,-136
2017-04-28,V,LAA,TSKAGGS-L,-106
2017-04-28,H,TEX,NMARTINEZ-R,-104
2017-04-28,V,OAK,JCOTTON-R,139
2017-04-28,H,HOU,CMORTON-R,-154
2017-04-28,V,MIN,KGIBSON-R,121
2017-04-28,H,KAN,IKENNEDY-R,-136
2017-04-28,V,CUB,JARRIETA-R,-116
2017-04-28,H,BOS,DPOMERANZ-L,106
2017-04-29,V,NYM,ZWHEELER-R,210
2017-04-29,H,WAS,SSTRASBURG-R,-240
2017-04-29,V,PIT,INOVA-R,111
2017-04-29,H,MIA,DSTRAILY-R,-121
2017-04-29,V,ATL,JGARCIA-L,110
2017-04-29,H,MIL,JNELSON-R,-120
2017-04-29,V,COL,TANDERSON-L,136
2017-04-29,H,ARI,ZGREINKE-R,-151
2017-04-29,V,SDG,JCHACIN-R,131
2017-04-29,H,SFO,MCAIN-R,-146
2017-04-29,V,PHI,ZEFLIN-R,175
2017-04-29,H,LOS,BMCCARTHY-R,-200
2017-04-29,V,BAL,UJIMENEZ-R,145
2017-04-29,H,NYY,MPINEDA-R,-165
2017-04-29,V,TAM,MANDRIESE-R,111
2017-04-29,H,TOR,FLIRIANO-L,-126
2017-04-29,V,CWS,DHOLLAND-L,150
2017-04-29,H,DET,MFULMER-R,-170
