Date,Team,PITCHER
2019-04-28,WAS,Hellickson
2019-04-28,CIN,Gray
2019-04-28,STL,Flaherty
2019-04-28,CUB,Quintana
2019-04-28,ARI,Weaver
2019-04-28,PIT,Williams
2019-04-28,LAD,Hill
2019-04-28,TAM,Glasnow
2019-04-28,BOS,Sale
2019-04-28,OAK,Bassitt
2019-04-28,TOR,Thornton
2019-04-28,DET,Boyd
2019-04-28,CWS,Banuelos
2019-04-28,BAL,Bundy
2019-04-28,MIN,Gibson
2019-04-28,LAA,Harvey
2019-04-28,KAN,Bailey
2019-04-28,TEX,Lynn
2019-04-28,SEA,Swanson
2019-04-28,CLE,Carrasco
2019-04-28,HOU,Miley
2019-04-28,NYY,German
2019-04-28,SFO,Rodriguez
2019-04-29,STL,Wacha
2019-04-29,WAS,Corbin
2019-04-29,CIN,Roark
2019-04-29,NYM,Wheeler
2019-04-29,SDG,Margevicius
2019-04-29,ATL,Soroka
2019-04-29,COL,Freeland
2019-04-29,MIL,Davies
2019-04-29,LAD,Maeda
2019-04-29,SFO,Samardzija
2019-04-29,OAK,Montas
2019-04-29,BOS,Rodriguez
2019-04-29,HOU,Verlander
2019-04-29,MIN,Odorizzi
2019-04-29,BAL,Means
2019-04-29,CWS,Banuelos
2019-04-29,TAM,Stanek
2019-04-29,KAN,Keller
2019-04-30,STL,Wainwright
2019-04-30,WAS,Sanchez
2019-04-30,CIN,Castillo
2019-04-30,NYM,Vargas
2019-04-30,SDG,Paddack
2019-04-30,ATL,Teheran
2019-04-30,COL,Marquez
2019-04-30,MIL,Chacin
2019-04-30,LAD,Buehler
2019-04-30,SFO,Pomeranz
2019-04-30,OAK,Brooks
2019-04-30,BOS,Porcello
2019-04-30,HOU,Cole
2019-04-30,MIN,Pineda
2019-04-30,TOR,Buchholz
2019-04-30,LAA,Canning
2019-04-30,DET,Turnbull
2019-04-30,PHI,Velasquez
2019-04-30,CLE,Bauer
2019-04-30,MIA,Alcantara
